neighbourhood,crime_type,year,population,crime_count,crime_rate
Bedford Park-Nortown,Auto Theft,2018,24938,50,200.4972
Bedford Park-Nortown,Auto Theft,2019,25483,63,247.2236
Bedford Park-Nortown,Auto Theft,2020,26015,79,303.671
Bedford Park-Nortown,Burglary,2014,23849,84,352.216
Bedford Park-Nortown,Burglary,2015,23813,67,281.3589
Bedford Park-Nortown,Burglary,2016,23860,100,419.1115
Bedford Park-Nortown,Burglary,2017,24382,121,496.2677
Bedford Park-Nortown,Burglary,2018,24938,101,405.0044
Bedford Park-Nortown,Burglary,2019,25483,90,353.1766
Bedford Park-Nortown,Burglary,2020,26015,64,246.0119
Bedford Park-Nortown,Homicide,2014,23849,0,0.0
Bedford Park-Nortown,Homicide,2015,23813,0,0.0
Bedford Park-Nortown,Homicide,2016,23860,0,0.0
Bedford Park-Nortown,Homicide,2017,24382,0,0.0
Bedford Park-Nortown,Homicide,2018,24938,0,0.0
Bedford Park-Nortown,Homicide,2019,25483,0,0.0
Bedford Park-Nortown,Homicide,2020,26015,0,0.0
Bedford Park-Nortown,Robbery,2014,23849,12,50.31657
Bedford Park-Nortown,Robbery,2016,23860,16,67.05784
Bedford Park-Nortown,Robbery,2017,24382,16,65.62218
Bedford Park-Nortown,Robbery,2018,24938,13,52.12928
Bedford Park-Nortown,Robbery,2019,25483,14,54.938590000000005
Bedford Park-Nortown,Robbery,2020,26015,17,65.34692
Bedford Park-Nortown,Shootings,2014,23849,1,4.193048
Bedford Park-Nortown,Shootings,2015,23813,0,0.0
Bedford Park-Nortown,Shootings,2016,23860,1,4.191115
Bedford Park-Nortown,Shootings,2017,24382,0,0.0
Bedford Park-Nortown,Shootings,2018,24938,0,0.0
Bedford Park-Nortown,Shootings,2019,25483,3,11.77255
Bedford Park-Nortown,Shootings,2020,26015,0,0.0
Bedford Park-Nortown,Theft Over,2014,23849,10,41.93048
Bedford Park-Nortown,Theft Over,2015,23813,14,58.791419999999995
Bedford Park-Nortown,Theft Over,2016,23860,7,29.3378
Bedford Park-Nortown,Theft Over,2017,24382,12,49.216640000000005
Bedford Park-Nortown,Theft Over,2018,24938,7,28.069609999999997
Bedford Park-Nortown,Theft Over,2019,25483,18,70.63532
Bedford Park-Nortown,Theft Over,2020,26015,9,34.595420000000004
Beechborough-Greenbrook,Assault,2014,6768,62,916.0756
Beechborough-Greenbrook,Assault,2015,6755,68,1006.662
Beechborough-Greenbrook,Assault,2016,6784,62,913.9151
Beechborough-Greenbrook,Assault,2017,6863,65,947.1077
Beechborough-Greenbrook,Assault,2018,6959,53,761.6037
Beechborough-Greenbrook,Assault,2019,7048,70,993.1896
Beechborough-Greenbrook,Assault,2020,7130,52,729.3127
Beechborough-Greenbrook,Auto Theft,2014,6768,9,132.9787
Beechborough-Greenbrook,Auto Theft,2015,6755,7,103.6269
Beechborough-Greenbrook,Auto Theft,2016,6784,9,132.6651
Beechborough-Greenbrook,Auto Theft,2017,6863,12,174.8506
Beechborough-Greenbrook,Auto Theft,2018,6959,14,201.1783
Beechborough-Greenbrook,Auto Theft,2019,7048,13,184.4495
Beechborough-Greenbrook,Auto Theft,2020,7130,14,196.3534
Beechborough-Greenbrook,Burglary,2014,6768,20,295.5083
Beechborough-Greenbrook,Burglary,2015,6755,15,222.0577
Beechborough-Greenbrook,Burglary,2016,6784,11,162.1462
Beechborough-Greenbrook,Burglary,2017,6863,16,233.1342
Beechborough-Greenbrook,Burglary,2018,6959,25,359.24699999999996
